"","sitecode","year","month","surveyid","qcfs","elev","scaled_elev","ar","scaled_ar","ar8k","vol","vol8k"
"1","0022R",2007,10,"512",8000,880.634,0,2709.76249999995,1,2709.76249999995,3479.60664250003,3479.60664250003
"2","0022R",2007,10,"512",9000,880.882,0.0448787549764632,2515.39749999996,0.925546875561123,2709.76249999995,3106.22000874998,3479.60664250003
"3","0022R",2007,10,"512",10000,881.126,0.0890336590662262,2334.38500000001,0.856208536932823,2709.76249999995,2769.43607937521,3479.60664250003
"4","0022R",2007,10,"512",11000,881.365,0.132283749547593,2167.93124999997,0.792447048176763,2709.76249999995,2469.13844687468,3479.60664250003
"5","0022R",2007,10,"512",12000,881.599,0.174629026420565,2058.81374999997,0.750648685272129,2709.76249999995,2190.28230734344,3479.60664250003
"6","0022R",2007,10,"512",13000,881.829,0.216250452406794,1950.09937500005,0.709004742740478,2709.76249999995,1925.16114140616,3479.60664250003
"7","0022R",2007,10,"512",14000,882.053,0.256786102062974,1783.35875000001,0.64513336413762,2709.76249999995,1684.34394890582,3479.60664250003
"8","0022R",2007,10,"512",15000,882.272,0.296416938110758,1450.89500000002,0.517780368741501,2709.76249999995,1486.65513031231,3479.60664250003
"9","0022R",2007,10,"512",16000,882.487,0.3353239232718,961.92499999993,0.330476356924115,2709.76249999995,1379.12000390614,3479.60664250003
"10","0022R",2007,10,"512",17000,882.696,0.373145132102792,885.298750000002,0.301124036668259,2709.76249999995,1307.11102843727,3479.60664250003
"11","0022R",2007,10,"512",18000,882.901,0.410242490047043,860.629375000004,0.291674228077699,2709.76249999995,1229.4649162498,3479.60664250003
"12","0022R",2007,10,"512",19000,883.1,0.446254071661243,838.481249999997,0.28319020519954,2709.76249999995,1150.60997968732,3479.60664250003
"13","0022R",2007,10,"512",20000,883.295,0.481541802388702,817.446875000009,0.27513281349132,2709.76249999995,1068.80892734358,3479.60664250003
"14","0022R",2007,10,"512",21000,883.485,0.515924719507786,796.559374999997,0.267131683469361,2709.76249999995,987.411508593417,3479.60664250003
